Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-04-25,23.798564910888672,23.92765869181828,23.669471129959064,23.780446061096434,112126400
2016-04-26,23.63323402404785,23.848391482941093,23.533583803504545,23.533583803504545,224064800
2016-04-27,22.154312133789062,22.355879546778908,21.669644227509174,21.742117884675096,458408400
2016-04-28,21.47714614868164,22.16791063433047,21.345787044478975,22.106761659841137,328970800
2016-04-29,21.23028564453125,21.45223733723916,20.951715543909348,21.28690578035466,274126000
2016-05-02,21.20763397216797,21.30728594552366,20.92679863478541,21.282372952184737,192640400
2016-05-03,21.556406021118164,21.683234500895185,21.216685397793906,21.334454453599935,227325200
2016-05-04,21.332195281982422,21.71947666489431,21.24839688894312,21.5609393046504,164102000
2016-05-05,21.24561309814453,21.43473684522037,21.118012371649755,21.418786754408522,143562000
2016-05-06,21.127119064331055,21.293455415162843,20.92888080536488,21.275227988494596,174799600
2016-05-09,21.1430721282959,21.366373347698225,21.097499209131772,21.1909223895964,131745600
2016-05-10,21.286619186401367,21.32079843518479,20.988124006445666,21.2661126801886,134747200
2016-05-11,21.07927131652832,21.32080169828695,21.067877652380467,21.300295188935703,114876400
2016-05-12,20.584814071655273,21.14079147509542,20.38657753793249,21.127120469577704,305258800
2016-05-13,20.625825881958008,20.887864460354056,20.507339794719382,20.507339794719382,177571200
2016-05-16,21.391443252563477,21.50765205182889,20.883317683169363,21.051933179259695,245039200
2016-05-17,21.30257225036621,21.57828188250692,21.19320072507569,21.54410436737179,187667600
2016-05-18,21.5463809967041,21.694489931630287,21.39371563938697,21.455238641453214,168249600
2016-05-19,21.464353561401367,21.56461224798511,21.32080277341668,21.56461224798511,121768400
2016-05-20,21.696775436401367,21.744625708605128,21.53727279062599,21.56461654835507,128104000
2016-05-23,21.972482681274414,22.145656317313065,21.799309045235763,21.844881969682415,152074400
2016-05-24,22.30743408203125,22.350726182938512,22.06590195241827,22.152489631091072,140560800
2016-05-25,22.699352264404297,22.72669427765415,22.35528411076761,22.482884808411256,152675200
2016-05-26,22.879356384277344,22.95227130105576,22.47604439269927,22.71301830683631,225324800
2016-05-27,22.865690231323242,22.893033984905465,22.615045241321894,22.65833908321977,145364800
2016-05-31,22.75404167175293,22.877085966361317,22.51706766788819,22.694797736179392,169228800
2016-06-01,22.435033798217773,22.6811223398301,22.405412705375742,22.56263449160384,116693200
2016-06-02,22.26641845703125,22.29376046950281,22.018050833697107,22.239074706130616,160766400
2016-06-03,22.31199073791504,22.39174117560807,22.2048965479719,22.28236964346596,114019600
2016-06-06,22.47377586364746,23.216598122238942,22.227688990504937,22.32794596162613,93170000
2016-06-07,22.564918518066406,22.756321338527762,22.54896842789708,22.615047869578415,89638000
2016-06-08,22.544408798217773,22.685680508647046,22.485164869544324,22.562636228369513,83392400
2016-06-09,22.706186294555664,22.783657644976127,22.435033091226014,22.44414767452766,106405600
2016-06-10,22.519346237182617,22.637832367208222,22.43959579020102,22.450987717810186,126851600
2016-06-13,22.17983055114746,22.58542169569288,22.125144788343775,22.487442095687204,152082000
2016-06-14,22.207168579101562,22.4395860533754,22.045388674443178,22.175268414150814,127727600
2016-06-15,22.134258270263672,22.423640633323316,22.10919360138673,22.289202705853434,117780800
2016-06-16,22.227676391601562,22.27324755824188,21.890443847806054,21.97702975979409,125307200
2016-06-17,21.721834182739258,22.022608481926333,21.714998679780535,22.01577297896761,244032800
2016-06-20,21.669431686401367,22.004385330376675,21.65348159566109,21.87450552336885,137647600
2016-06-21,21.85399055480957,21.95424748420919,21.573722796302224,21.632966712603476,142185600
2016-06-22,21.771968841552734,22.077299637832734,21.726395913312054,21.931469744321472,116876400
2016-06-23,21.897289276123047,21.94058312095867,21.70360912245369,21.86083267396886,128960800
2016-06-24,21.282068252563477,21.569171582580047,21.11117370300611,21.170417633612853,301245600
2016-06-27,20.972183227539062,21.20232175046967,20.849138920381,21.1909280830102,181958400
2016-06-28,21.32535171508789,21.34130353547484,20.994956415194608,21.168129975334722,161779600
2016-06-29,21.50992202758789,21.54410127624807,21.33446936239907,21.411942441924065,146124000
2016-06-30,21.783357620239258,21.822093299821137,21.48714145243588,21.51904162837733,143345600
2016-07-01,21.84943199157715,21.981590826109247,21.721831317368945,21.758287907816086,104106000
2016-07-05,21.644363403320312,21.737786589539503,21.52359820234758,21.735507508833635,110820800
2016-07-06,21.76740264892578,21.79702547596092,21.503086716361018,21.555493391466726,123796400
2016-07-07,21.860822677612305,21.98842333444771,21.787907768216563,21.806135191744072,100558400
2016-07-08,22.029443740844727,22.077293999454746,21.885892965014673,21.98614990468037,115648400
2016-07-11,22.097806930541992,22.250472322052435,22.040842076536958,22.045398499948433,95179600
2016-07-12,22.198057174682617,22.261857513714595,22.129700413617865,22.14109233791423,96670000
2016-07-13,22.072744369506836,22.255030876722028,22.06590712609078,22.195788674552603,103568800
2016-07-14,22.510229110717773,22.555800292868337,22.175275532780702,22.19122562037632,155676000
2016-07-15,22.507949829101562,22.626437683121686,22.444149479288797,22.539850004007945,120548000
2016-07-18,22.74720001220703,22.81555677620662,22.46693223836481,22.48971782636467,145975600
2016-07-19,22.756309509277344,22.785930593214246,22.635542616853332,22.68567194230697,95119600
2016-07-20,22.776826858520508,22.890756565739053,22.726697509195645,22.785941443709515,105104000
2016-07-21,22.65606117248535,23.01380037612155,22.587702654214247,22.747205284037047,130808000
2016-07-22,22.480606079101562,22.62643593553281,22.40085390956624,22.617321352202232,113254800
2016-07-25,22.17983055114746,22.52161961092135,22.084130031633748,22.387183415189565,161531600
2016-07-26,22.02716636657715,22.32338426293091,21.970201520234436,22.061345622068604,224959200
2016-07-27,23.458120346069336,23.777123796795603,23.41254916957799,23.758894630827488,369379200
2016-07-28,23.774850845336914,23.799915520397235,23.42850529480335,23.430784375744125,159479200
2016-07-29,23.74522590637207,23.822698999963638,23.62446071248406,23.740669483656855,110934800
2016-08-01,24.164487838745117,24.1872734289597,23.7907985962529,23.7907985962529,152671600
2016-08-02,23.806747436523438,24.16904299572096,23.697374175420425,24.164486573288297,135266400
2016-08-03,24.105243682861328,24.116635608645094,23.872826144980184,23.88194072866465,120810400
2016-08-04,24.2541561126709,24.283937671156025,24.118989890337996,24.187718714961047,109634800
2016-08-05,24.62299919128418,24.66194471273675,24.32517659087174,24.345794191224247,162213600
2016-08-08,24.826892852783203,24.826892852783203,24.54968959670858,24.632161747114207,112148800
2016-08-09,24.92768669128418,24.957469993000934,24.74441276709909,24.79481366430005,105260800
2016-08-10,24.742122650146484,24.94830735513366,24.687140644765385,24.9047789874568,96034000
2016-08-11,24.726089477539062,24.95518323652753,24.707761557336784,24.861253956375855,109938000
2016-08-12,24.78335952758789,24.84292438617509,24.691721686956768,24.691721686956768,74641600
2016-08-15,25.08118438720703,25.094929452823862,24.760452789323715,24.77419785494055,103472800
2016-08-16,25.058273315429688,25.2530043978627,25.019327798081715,25.115546751946088,135177600
2016-08-17,25.02161407470703,25.055978479112913,24.820010501043836,24.99412220161308,101424000
2016-08-18,24.989545822143555,25.108673799051683,24.975799009073988,25.023910233047655,87938800
2016-08-19,25.053693771362305,25.129295131759978,24.824600011015427,24.91852754387737,101472400
2016-08-22,24.858963012695312,24.99412748465648,24.70776030048799,24.939145474693174,103280800
2016-08-23,24.936853408813477,25.044527746957115,24.86354348145878,24.877288546635743,85030800
2016-08-24,24.748994827270508,24.913942588893782,24.66881237310542,24.872705648487965,94700400
2016-08-25,24.64361000061035,24.71462849049414,24.439716741137445,24.60237306342222,100344800
2016-08-26,24.499279022216797,24.730662383624868,24.354948883288298,24.606953332894857,111065200
2016-08-29,24.471790313720703,24.613829044778868,24.350370925679744,24.4259722703323,99881200
2016-08-30,24.283939361572266,24.398486245353265,24.169392477791263,24.23812130719856,99455600
2016-08-31,24.306840896606445,24.414515213827364,24.201458005751938,24.20604085848477,118649600
2016-09-01,24.45117950439453,24.467215998815654,24.19688527296902,24.316013267547813,106806000
2016-09-02,24.680273056030273,24.742127605992668,24.471796882605915,24.673398774615084,107210000
2016-09-06,24.673397064208984,24.810854717435326,24.62987043867753,24.719216864566654,107521600
2016-09-07,24.82460594177246,24.916243817373424,24.529074710579085,24.703186499436203,169457200
2016-09-08,24.173980712890625,24.57489492435197,24.10983471871237,24.570313816702345,212008000
2016-09-09,23.626434326171875,24.21978796010266,23.626434326171875,23.972366327084888,186228000
2016-09-12,24.155649185180664,24.219795165153805,23.48898543364512,23.51647731699655,181171200
2016-09-13,24.730670928955078,24.923110598072498,24.568014567543866,24.629870862128524,248704800
2016-09-14,25.60580825805664,25.894466879100452,24.87958147331745,24.909364780125077,443554800
2016-09-15,26.47636604309082,26.513021884030763,25.999850597951735,26.08461591924033,359934400
2016-09-16,26.32745361328125,26.604656844016898,26.125851740340764,26.37327341248133,319547600
2016-09-19,26.02046775817871,26.616111140609824,25.9448664034801,26.389308824360544,188092000
2016-09-20,26.01818084716797,26.144183126868434,25.775341996669095,25.899052849144045,138057200
2016-09-21,26.013601303100586,26.114401385068778,25.759307049046516,26.082328393372492,144012800
2016-09-22,26.258729934692383,26.332039875053763,26.116691160559213,26.1968736347284,124296000
2016-09-23,25.821157455444336,26.29767289527699,25.555409602975875,26.21290757493233,209924800
2016-09-26,25.860103607177734,25.97694191692001,25.55541022758221,25.576027827500234,119477600
2016-09-27,25.90821075439453,25.928830100301912,25.736390445834793,25.887593156333715,98429600
2016-09-28,26.1052303314209,26.263305567441613,25.98610235860507,26.045667218936227,118564400
2016-09-29,25.699735641479492,26.07086812688124,25.612680650119508,25.924248274145206,143548000
